linked_lila_st	lila_lemma_id
Q418$D59A7944-847A-4B00-965F-CA0F1854BA80	lemma/59198
Q419$3628F179-35C2-4E6F-821F-BA7875BD195A	lemma/59198
Q420$58C0FD42-770E-4C90-8CE5-1CF69D10B0C3	lemma/59198
Q421$2911AEF8-1C69-4B76-B135-6228B4368EB8	lemma/59198
Q422$4FFD240E-DAC4-4120-9761-FD5FB4DD7474	lemma/59198
Q423$F6C9EDBD-00AD-4E67-90F3-E097E9F246D1	lemma/59198
Q424$60FD035F-6A20-4339-8DAA-259266D48E3D	lemma/59198
Q425$944A76AC-75E1-43DA-8D25-B8AE74586ED3	lemma/59198
Q426$221144BB-0F6B-420D-BF3A-EF0D25CE5027	lemma/59198
Q427$CB332F8C-135D-4AAA-959F-5D7C2E67A87B	lemma/59198
Q428$203BB5ED-B633-4E74-AE51-430B2C152F79	lemma/59198
Q429$8A9A391C-5BC3-4EA9-B048-8E6C369C1D1B	lemma/59198
Q430$14E1B9BE-F31E-434C-9FE7-D529F3F63F00	lemma/59198
Q431$A2E8BB8E-51B1-44DE-8558-CC929AE8C4EF	lemma/59198
Q432$ECD8369A-2969-4549-8041-50D2DCE1B4A9	lemma/59198
Q433$8C68BC39-0A5C-4D01-8889-0254153B400D	lemma/59198
Q434$1C49CAB6-EF41-411F-9D5F-B836A6BDE99C	lemma/59198
Q435$3A3A34B7-2AF1-4272-8FE8-D2CE7BE431F6	lemma/59198
Q436$F2EA75E6-3E10-45EF-A668-D9E8D6E74A68	lemma/59198
Q437$F05F3C62-BEA9-45DA-97B7-3880723DAF1E	lemma/59198
Q438$821140A7-0731-4ABA-97D5-D58189A88427	lemma/59198
Q439$8F2A3614-8FC2-41F5-95DB-6B3F4230D8E1	lemma/59198
Q440$A543A11E-CBFC-4BE9-B8E3-1BD347491EE5	lemma/59198
Q441$F585DEBA-BCAE-4EFC-8372-639EA184FC28	lemma/59198
Q442$F0974588-AB30-4B24-8FFA-AA98D3B04DF1	lemma/59198
Q443$B82FACC9-4353-4818-B53D-61B7EA906D56	lemma/59198
Q444$221427DC-879F-424E-A76A-1376D4AAB666	lemma/59198
Q445$C89DBB22-A146-4A9D-A9AC-D13FFE775886	lemma/59198
Q446$3D7792C3-FDD0-4B7A-A1D5-DF14025A8C24	lemma/59198
Q447$972C725F-DF7A-44E0-BEE5-A9A1393644B1	lemma/59198
Q448$A300ED88-0A6F-4826-B095-28A088351645	lemma/59198
Q449$FAEB2645-9C23-4633-8705-83E91E98F2A9	lemma/59198
Q450$F1FCC8F5-727D-4ABB-A6D6-6554EBF22DAE	lemma/59198
Q451$CC5076A7-3EFD-4848-95E6-519A2E38BF76	lemma/59198
Q452$99383EB9-33C5-4B82-8F09-6BFDFACF1795	lemma/59198
Q453$4AE9F1E8-0E7D-4E36-ABB6-1D377AA9DF6E	lemma/59198
Q454$5C63D0A3-CBF3-4F5E-842F-0C194C078652	lemma/59198
Q455$7192F036-9461-4486-BC8A-BD8C9B97FE40	lemma/59198
Q456$181A783D-EC65-4F50-9818-B16AE9C6362B	lemma/59198
Q457$3240C473-75E4-42CA-8040-77E9B59966D0	lemma/59198
Q458$DAAB8B19-520D-4ABD-B4CC-9182A714C30F	lemma/59198
Q659$F48EF887-C6CE-4D56-BAC7-629E76E6B93B	lemma/87035
Q660$E2C392D8-E0D1-4413-9E94-C2C3C0B48C71	lemma/87035
Q661$0D3F0E06-B212-453D-B755-57251F2AD023	lemma/87035
Q662$DD415B47-74A5-4227-868A-C284A43DF786	lemma/87035
Q663$1961306D-5F90-44B2-A6F3-056517095244	lemma/87035
Q664$6BE0694C-DC14-4DCF-8E53-EFF4E07B3602	lemma/87035
Q665$72FC5FEF-D09D-49F6-BCAD-FCD975E2023B	lemma/87035
Q666$13629A0B-9B08-457B-8A95-7A42A1D20343	lemma/87035
Q667$527EA2A3-56F5-49B0-B069-FCAACEBC8822	lemma/87035
Q668$C4FA69C5-11FA-49D0-8EF2-F3DA940D5573	lemma/87035
Q669$2A1AE4B7-C40C-4EA4-8E3F-C409AD5BFBB1	lemma/87035
Q670$452469BB-97D4-4584-948D-E34F32F9A742	lemma/87035
Q671$6E78B720-14BF-4B16-89B1-C583C2D236D8	lemma/87035
Q672$41194053-93FF-4E17-A5D5-8A3991BD794A	lemma/87035
Q673$3819C31F-BF19-4BA2-B8CB-0D265A08A3D5	lemma/87035
Q674$97375B45-7355-4A8A-8FD9-DFFD3AB3B53D	lemma/87035
Q675$3E4CE47F-9E06-4324-AC8C-1D85B4AAE318	lemma/87035
Q676$B59B5A39-9555-43DD-80FF-B32125CF2EC4	lemma/87035
Q677$7CA967D9-E64A-45F6-A292-6927FCE3D15A	lemma/87035
Q678$FC963283-8421-4699-B308-2D1BF0B9851A	lemma/87035
Q679$3CFC924B-3149-427F-8500-47B318594FB5	lemma/87035
Q680$6F31D53D-75EE-48F0-891E-87C4382CCB47	lemma/87035
Q681$00E23D05-9CEB-4E53-8DB0-52906FCB5C6C	lemma/87035
Q682$A20C8C58-A4D3-4034-98BC-E67CF73064D3	lemma/87035
Q683$D034D5D0-C1C7-4789-886C-4713D3F56F3A	lemma/87035
Q684$DBF9F943-38A0-4E77-AEF8-A9CB9AA2343F	lemma/87040
Q685$98278C25-EC4C-4C5B-AAD6-75C25DE15C97	lemma/87040
Q686$AB80EC99-0EE2-4121-B6C3-ED7E6444C9C4	lemma/87040
Q687$6D4D3A5A-D313-449E-A011-95D674A52075	lemma/87040
Q688$1AAE46CD-E2FC-4841-85BF-CC170AF9AEDF	lemma/87040
Q689$BC4083C2-A83A-4937-8FFB-417BB88CA0F8	lemma/87040
Q690$5F3D408B-B402-49C5-AB86-BCD94709BB3F	lemma/87040
Q691$2DABFD0A-1B3E-4A07-8596-7472244BAAB9	lemma/87040
Q692$92503113-DF5F-4602-972F-CBF4A4650E09	lemma/87053
Q693$D144F56B-481E-4934-85F4-AE237CB755DA	lemma/87053
Q694$9A8B6E7A-75B8-4C14-9C98-BB8430DD7B35	lemma/87053
Q695$AE231F04-750C-4EEC-B522-4BDDF822FE96	lemma/87053
Q696$68FE6888-6620-4E7A-8D64-ABE810C325BB	lemma/87053
Q697$42987464-26CB-4896-BD8B-68F905E3D1C4	lemma/87053
Q698$0BB10B10-AA41-41E0-AB27-2B1341627097	lemma/87053
Q699$C097C7AE-64DA-4ACD-8150-9546E010DC52	lemma/87053
Q700$26AA8FEC-91B9-4C22-BFB5-D6724C397A9E	lemma/87058
Q701$E0A8BA88-D671-4255-9B7F-CD531E87122F	lemma/87058
Q702$0A8CE898-D63E-4A51-B83A-D3C21651B0E1	lemma/87058
Q747$2C17585E-F9BC-4D90-BDEC-789367773C48	lemma/87089
Q748$D531DD8C-3543-4395-BCB2-0480D2BFD02D	lemma/87089
Q749$CECD0E06-D977-45A1-A557-EA87154E5A98	lemma/87089
Q750$7E7B33F8-6931-46EE-8B4F-6877FBFFB55E	lemma/87089
Q751$3B7FD4E1-FC4E-4B63-A734-B49BC7F63672	lemma/87089
Q752$DA522168-F3C1-4978-A2ED-B07815947893	lemma/87089
Q753$3DE8C91B-5606-47AF-8309-ECA078C22081	lemma/87102
Q754$F007803F-1BDE-4CAA-8457-6E622165D349	lemma/87102
Q755$66C0BC8D-DBCC-4319-9018-12840C6E9BC3	lemma/87102
Q756$72A2A703-133C-4824-8CFF-214CA39F9E7B	lemma/87102
Q757$125EAD04-CBA7-47DC-842D-1062DC8CD368	lemma/87102
Q760$CCE57B3C-D550-418F-85A2-905AE5CA07CE	lemma/87112
Q763$74A68FC1-A9E1-451B-AD66-681679589BF3	lemma/87112
Q769$49B70FCD-AA07-4233-AB9C-6D290F6CE6A2	lemma/87112
Q770$1568F858-C6B9-4BD7-90E0-4292A97AF30B	lemma/87112
Q772$D3E0647D-48EE-4FD9-AA51-F42059D8B2A9	lemma/87112
Q759$70F48157-F5F2-4B1E-A3CB-C7EB9D2DE713	lemma/87112
Q767$2E84EBF2-CD04-436E-866D-5C7DAF50E5B5	lemma/87112
Q768$FD2F1525-7F4F-4A7F-A7E9-63505D7A88F8	lemma/87112
Q758$75EDAA8F-2C06-42CF-B4B6-54E9A27F71C7	lemma/87112
Q761$80CA5E0C-56A6-4A59-939F-50A8895DDC83	lemma/87112
Q762$8FC2D77A-C53A-43D5-ABD1-FA710AB91489	lemma/87112
Q764$9F5B6DF6-7254-4CE7-80CA-A47CCA68ADC2	lemma/87112
Q765$2D4F423D-940B-43B1-9C10-5D7BBBCB6833	lemma/87112
Q766$B94C5DCB-0901-4948-870C-58D77D7FEA26	lemma/87112
Q771$89F59E0F-56B4-49D8-B955-6BC1E6538E87	lemma/87112
Q773$03F96419-B34C-497D-8B0F-37F0FE2098EC	lemma/87112
Q774$4FE3DEAF-8D35-42EB-A8CC-3541FF7EB777	lemma/87112
Q775$125FBFB0-E138-4EFC-8608-DC70F4B1FA1E	lemma/87112
Q776$3E2ABD81-4744-4B3A-B0B7-9953DAE7CFC6	lemma/87112
Q777$04847898-B8AE-40F7-9726-AA7A5D5A1580	lemma/87112
Q778$B4612D7D-B498-4D92-89F0-6247F51FC4FB	lemma/87112
Q779$C75B0B6B-9B2E-4DA8-AAEC-682FE67DE9EA	lemma/87112
Q780$3EACEC53-A605-4DF2-819B-99879B5A366C	lemma/87112
Q769$85A19251-2841-4B01-95AF-A96B0D098EEB	lemma/87084
Q771$4D2DDCC0-2171-4674-8A13-8C91807332E3	lemma/87084
Q765$31AEFC85-4C2C-4154-B7FF-B0F83BC315B4	lemma/87084
Q759$CBA888D4-6B27-4A7A-839E-848126B47DC0	lemma/87084
Q763$66220DA5-7593-44D1-9FA9-F14941563453	lemma/87084
Q761$094002B7-2D39-4EBD-8F47-910CB99BBF15	lemma/87084
Q778$07673851-8F55-49BC-ADDE-2042EE23FDA9	lemma/87084
Q764$D9E868EA-6C70-498D-AB58-6CC25B001BC3	lemma/87084
Q758$35926487-EC8D-4E06-BFB1-031D727DF291	lemma/87084
