lexeme_id	label
a0010	abaestumo
a0015	abalieno
a0018	abambulo
a0021	abarceo
a0022	abarguo
a0027	abbo
a0030	abbreuio
a0034	abdico
a0035	abdico
a0038	abdo
a0040	abduco
a0042	abemo
a0043	abeo
a0044	abequito
a0046	aberro
a0047	abgrego
a0048	abhibeo
a0050	abhorreo
a0050_sc	abhorresco
a0052	abhortor
a0053	abicio
a0061	abigeo
a0063	abigo
a0066	abito
a0067	abiudico
a0068	abiugo
a0069	abiungo
a0072	abiurgo
a0073	abiuro
a0075	ablacto
a0077	ablaqueo
a0083	ablego
a0085	ableuo
a0086	abligurrio
a0089	ablingo
a0090	abloco
a0091	abludo
a0097	abnato
a0101	abnego
a0104	abnocto
a0105	ablauo
a0110	abnumero
a0111	abnuo
a0113	abnuto
a0114	abolefacio
a0116	aboleo
a0122	abomino
a0125	aborior
a0127	abortio
a0130	aborto
a0133	abrado
a0136	abrelego
a0139	abrenuntio
a0140	abripio
a0141	abrodo
a0143	abrogo
a0144	abolefio
a0145	abrumpo
a0147	abscedo
a0149	abscido
a0150	abscindo
a0155	abscondo
a0162	absento
a0164	absigno
a0165	absilio
a0169	absisto
a0172	absoleo
a0178	absoluo
a0179	absono
a0181	absorbeo
a0187	abstergeo
a0188	absterreo
a0191	abstineo
a0192	absto
a0193	abstollo
a0195	abstraho
a0196	abstrudo
a0199	abstulo
a0200	absum
a0202	absumo
a0209	abtorqueo
a0212	abundo
a0217	abutor
a0236	accino
a0237	accantito
a0238	accanto
a0240	accedo
a0243	accelero
a0245	accendo
a0247	accenseo
a0257	acceptito
a0258	accepto
a0266	accessito
a0268	accido
a0269	accido
a0272	accingo
a0274	accio
a0275	accipio
a0278	accipitro
a0281	accito
a0283	acclamo
a0284	acclaro
a0288	acclino
a0291	accognosco
a0294	accolo
a0298	accommodo
a0300	accorporo
a0301	accredo
a0303	accresco
a0311	accubo
a0313	accudo
a0314	accumbo
a0317	accumulo
a0320	accuro
a0321	accurro
a0328	accusito
a0329	accuso
a0331	acedior
a0333	aceo
a0333_sc	acesco
a0342	acerbo
a0352	aceruo
a0354	aceto
a0358	aceto
a0358_sc	acetasco
a0400	acontizo
a0406	acquiesco
a0407	acquiro
a0445	actito
a0463	acumino
a0464	acuo
a0471	adolesco
a0483	adaequo
a0485	adaero
a0486	adaestuo
a0487	adaggero
a0491	adagnosco
a0492	adalligo
a0498	adambulo
a0500	adamo
a0501	adamplio
a0502	adaperio
a0505	adapto
a0506	adaquo
a0508	adaresco
a0509	adaucto
a0511	adaudio
a0512	adaugeo
a0513	adaugesco
a0516	adbibo
a0517	adbito
a0518	adblandior
a0519	adblatero
a0521	addecet
a0522	addecimo
a0525	addenseo
a0526	addenso
a0527	addico
a0530	addisco
a0535	addo
a0536	addoceo
a0537	addormio
a0537_sc	addormisco
a0541	addubito
a0542	adduco
a0545	addulco
a0546	adedo
a0553	adeo
a0556	adequito
a0557	aderro
a0559	adesco
a0560	adesurio
a0561	adhaereo
a0564	adhalo
a0565	adhibeo
a0567	adhinnio
