token,linked_form
Q11256,L20563-F55
Q68781,L25938-F4
Q3418,L19119-F8
Q70946,L24334-F188
Q47453,L25938-F4
Q53919,L25938-F24
Q14973,L21001-F337
Q55870,L23749-F199
Q43388,L25938-F4
Q3291,L19119-F36
Q10122,L20380-F61
Q21813,L24268-F13
Q35820,L25938-F4
Q7796,L20166-F55
Q1508,L18808-F55
Q29756,L25938-F4
Q49011,L23334-F58
Q19823,L26584-F143
Q20870,L22125-F5
Q5462,L19801-F476
Q59314,L21065-F109
Q14959,L21001-F110
Q52489,L25938-F4
Q48996,L22180-F255
Q35876,L21894-F1
Q39542,L25938-F1
Q33490,L24268-F4
Q57959,L25938-F1
Q45051,L24334-F163
Q9968,L20346-F1
Q26449,L25938-F108
Q24517,L25938-F95
Q58587,L25938-F4
Q60955,L25938-F108
Q24517,L25939-F167
Q18600,L24268-F4
Q25948,L24255-F194
Q30196,L24594-F165
Q31585,L25938-F4
Q27411,L26516-F55
Q16178,L23749-F199
Q19926,L25938-F4
Q27359,L25938-F24
Q64077,L21075-F122
Q46086,L22180-F4
Q51586,L22310-F1
Q64815,L25938-F4
Q10771,L20425-F175
Q11624,L20796-F10
Q64965,L25008-F534
Q62534,L22721-F28
Q27336,L25938-F1
Q10767,L20425-F149
Q26424,L25938-F4
Q11112,L20530-F55
Q42839,L25938-F4
Q57407,L25089-F109
Q45675,L21894-F4
Q24290,L21894-F4
Q41508,L22180-F17
Q20846,L24268-F4
Q54553,L21213-F10
Q69541,L23334-F55
Q61899,L21050-F149
Q36217,L24596-F69
Q57396,L25089-F109
Q24091,L25938-F4
Q49267,L25938-F4
Q7117,L19983-F325
Q28887,L21535-F7
Q51165,L25938-F4
Q44587,L25707-F55
Q26406,L25938-F4
Q50672,L24268-F10
Q11628,L20796-F16
Q27179,L23302-F271
Q922,L18707-F55
Q21294,L24268-F4
Q31535,L25938-F7
Q9154,L20248-F55
Q71143,L25157-F266
Q19879,L25938-F4
Q36667,L25938-F4
Q17062,L22721-F110
Q43970,L26516-F1
Q33071,L26584-F15
Q63819,L25938-F4
Q53205,L25938-F30
Q38841,L23302-F292
Q52178,L22180-F7
Q809,L18707-F155
Q25037,L24255-F7
Q49524,L23334-F36
Q56150,L24153-F1
Q23511,L21894-F212
Q52862,L25938-F108
Q28430,L21957-F173
Q34565,L21811-F695
Q57506,L26584-F1
Q67819,L25938-F7
Q39094,L22180-F1
Q22113,L22721-F458
Q11771,L20800-F4
Q41688,L25938-F30
Q50743,L23402-F6
Q23206,L22180-F16
Q43930,L21952-F308
Q2397,L18960-F20
Q19395,L25938-F4
Q2974,L19037-F24
Q16187,L25938-F109
Q50276,L25476-F4
Q60392,L25938-F7
Q2421,L18960-F4
Q54958,L24255-F371
Q29282,L25476-F200
Q48172,L22721-F44
Q18170,L22581-F10
Q26607,L25065-F22
Q11941,L20880-F7
Q29162,L25938-F4
Q14336,L21001-F14
Q71619,L24531-F162
Q43239,L24268-F7
Q71619,L24531-F254
Q65370,L25938-F4
Q26861,L22180-F13
Q70982,L24922-F160
Q4831,L19538-F179
Q27726,L25938-F1
Q4831,L19538-F253
Q64188,L25269-F96
Q16667,L24255-F4
Q61079,L21957-F173
Q48734,L24255-F1
Q55341,L25938-F4
Q26433,L26584-F1
Q34634,L22888-F55
Q68114,L23749-F199
Q18934,L25938-F4
Q67172,L24857-F55
Q21213,L24255-F72
Q1654,L18873-F7
Q70693,L25938-F4
Q50115,L25938-F27
Q2977,L19037-F167
Q56886,L25938-F4
Q55252,L21618-F10
Q32860,L25938-F4
Q20749,L25938-F4
Q52460,L26215-F13
Q45852,L25938-F4
Q50125,L25938-F4
Q16953,L23349-F61
Q14337,L21001-F8
Q27531,L26474-F4
Q6488,L19868-F1
Q57551,L21748-F32
Q65169,L25938-F4
Q20261,L25938-F108
Q14789,L21001-F110
Q62550,L24268-F4
Q58904,L25938-F108
Q46344,L26516-F55
Q67069,L25707-F64
Q69533,L25938-F108
Q36660,L22120-F58
Q15259,L21001-F8
Q61016,L21894-F4
Q10994,L20530-F4
Q52346,L24596-F4
Q22107,L25938-F7
Q33877,L23334-F64
Q23015,L25938-F1
Q17505,L25938-F4
Q28562,L24255-F234
Q2323,L18960-F16
Q65185,L24255-F55
Q14787,L21001-F265
Q36001,L22721-F150
Q55575,L24153-F7
Q65139,L25938-F4
Q46809,L22180-F10
Q27675,L24268-F7
Q45341,L25938-F4
Q60300,L25938-F108
Q35603,L25938-F27
Q32126,L24179-F13
Q2595,L18960-F266
Q14761,L21001-F110
Q49128,L25938-F108
Q21932,L23260-F132
Q16116,L25938-F4
Q15834,L21001-F122
Q14753,L21001-F174
Q59829,L25938-F7
Q6959,L19976-F423
Q19122,L24455-F58
Q33498,L22721-F300
Q53488,L22888-F61
