token	linked_form
Q38187	L33992-F14
Q64467	L31295-F119
Q12504	L28990-F122
Q5090	L27597-F4
Q40072	L31664-F590
Q59112	L29049-F157
Q49229	L31793-F7
Q52358	L30225-F7
Q23844	L31481-F293
Q44183	L33585-F414
Q63967	L31793-F68
Q35658	L29191-F68
Q59115	L33992-F5
Q62679	L32187-F4
Q58751	L34570-F5
Q43173	L33992-F1
Q29410	L34550-F135
Q35186	L33992-F5
Q7606	L28146-F71
Q26073	L31793-F4
Q3211	L27148-F8
Q46679	L31481-F71
Q46798	L34585-F14
Q59557	L34483-F142
Q59557	L34636-F71
Q61087	L32308-F68
Q70287	L33992-F5
Q28628	L31793-F1
Q7363	L28078-F7
Q62032	L33994-F64
Q38982	L33992-F5
Q54486	L31793-F200
Q31932	L32192-F37
Q69129	L32188-F7
Q53871	L29049-F143
Q68226	L32387-F182
Q15497	L29049-F137
Q56858	L32308-F202
Q59359	L33992-F5
Q8620	L28265-F1
Q69575	L34550-F135
Q22087	L33992-F5
Q16639	L33282-F68
Q55138	L33992-F5
Q23506	L30774-F68
Q25632	L34528-F163
Q12927	L29049-F33
Q35900	L30550-F267
Q540	L34528-F164
Q48596	L32032-F8
Q70929	L31433-F324
Q26781	L33992-F3
Q22080	L31801-F192
Q64519	L33992-F5
Q59980	L33992-F1
Q60147	L33992-F5
Q42932	L33992-F1
Q39340	L30720-F1
Q12490	L28987-F4
Q27700	L33992-F1
Q55308	L32187-F4
Q40795	L33992-F5
Q22836	L33992-F5
Q59891	L33992-F5
Q65325	L29680-F4
Q33880	L33992-F5
Q33599	L32781-F49
Q48652	L33109-F1
Q59684	L31295-F49
Q49736	L29205-F1
Q49736	L29206-F1
Q56592	L33992-F5
Q43386	L30419-F1
Q70709	L33992-F5
Q19796	L32760-F207
Q11549	L28792-F68
Q68774	L31295-F145
Q64417	L29432-F98
Q16915	L34257-F8
Q13303	L29049-F8
Q48621	L31295-F119
Q63259	L33992-F5
Q14404	L29049-F8
Q12503	L28990-F122
Q12114	L28933-F68
Q42144	L33992-F5
Q31553	L31481-F68
Q4108	L27275-F8
Q34583	L30419-F1
Q38447	L34257-F8
Q55881	L33992-F14
Q53914	L33992-F5
Q7847	L28223-F4
Q27247	L33992-F5
Q21172	L33992-F5
Q41830	L34657-F298
Q22257	L33992-F8
Q46020	L29942-F197
Q16179	L33992-F8
Q12786	L29049-F137
Q29452	L32206-F68
Q65431	L33992-F5
Q11278	L28646-F110
Q69008	L33992-F5
Q32774	L30229-F4
Q32160	L30229-F4
Q14315	L29049-F8
Q40321	L29261-F4
Q771	L26725-F7
Q771	L26732-F11
Q45572	L29942-F170
Q69497	L33992-F5
Q3968	L27275-F406
Q45548	L29666-F10
Q41892	L32760-F180
Q48826	L33992-F5
Q59804	L32685-F53
Q17358	L31265-F1
Q50442	L29418-F264
Q59326	L32781-F163
Q11185	L28578-F1
Q58997	L33992-F3
Q35293	L34657-F268
Q44825	L33992-F5
Q18322	L32649-F1
Q34946	L29549-F26
Q15516	L29049-F14
Q27360	L32321-F11
Q4019	L27275-F2
Q12209	L28964-F284
Q49559	L33992-F8
Q39119	L31484-F335
Q16427	L33530-F1
Q51144	L32321-F66
Q66906	L33992-F109
Q66893	L29555-F210
Q23202	L34657-F298
Q67798	L33992-F8
Q9768	L28393-F7
Q65264	L32321-F13
Q10097	L28406-F64
Q36730	L29195-F1
Q17027	L32321-F5
Q11325	L28659-F17
Q44051	L33992-F5
Q64179	L32976-F7
Q3829	L27242-F2
Q6416	L27858-F71
Q48331	L33992-F5
Q26103	L33026-F1
Q60929	L29680-F78
Q17913	L30944-F19
Q40590	L31801-F110
Q7496	L28085-F10
Q68515	L33992-F14
Q51300	L31265-F543
Q53744	L31265-F543
Q68972	L33992-F5
Q64505	L34267-F2
Q18528	L32072-F4
Q17050	L31043-F8
Q71566	L33992-F5
Q31648	L31801-F1
Q45243	L33992-F14
Q56473	L32760-F197
Q50872	L31265-F567
Q45294	L33992-F5
Q4707	L27541-F1
Q49284	L33992-F5
Q7735	L28156-F54
Q67632	L32647-F172
Q67632	L32647-F174
Q389	L29285-F308
Q61317	L29666-F7
Q37823	L33992-F1
Q31027	L33992-F8
Q42495	L32321-F4
Q46969	L33992-F5
Q16822	L33992-F1
Q47874	L33992-F1
Q22903	L33992-F8
Q61672	L32188-F1
Q58716	L29666-F13
Q3316	L27148-F8
Q67080	L33992-F18
Q25235	L31940-F4
Q44176	L33992-F14
Q43567	L33992-F5
Q71021	L33992-F5
Q30306	L32188-F1
Q37076	L32321-F4
