lila_lemma_id,lexeme
lemma/86835,L18610
lemma/86840,L18611
lemma/86874,L18623
lemma/86876,L18624
lemma/86877,L18625
lemma/86878,L18626
lemma/86880,L18627
lemma/86867,L18620
lemma/86872,L18621
lemma/86873,L18622
lemma/86843,L18612
lemma/86847,L18613
lemma/86848,L18614
lemma/86853,L18615
lemma/86856,L18616
lemma/86860,L18617
lemma/86861,L18618
lemma/86865,L18619
lemma/86881,L18628
lemma/86883,L18629
lemma/86884,L18630
lemma/86893,L18631
lemma/86895,L18632
lemma/86898,L18633
lemma/86899,L18634
lemma/86918,L18642
lemma/86919,L18643
lemma/86900,L18635
lemma/86901,L18636
lemma/86904,L18637
lemma/86905,L18638
lemma/86907,L18639
lemma/86909,L18640
lemma/86916,L18641
lemma/86922,L18644
lemma/86923,L18645
lemma/86924,L18646
lemma/86930,L18647
lemma/86934,L18648
lemma/86937,L18649
lemma/86939,L18650
lemma/86944,L18651
lemma/86946,L18652
lemma/86948,L18653
lemma/86949,L18654
lemma/86951,L18655
lemma/86981,L18665
lemma/86994,L18671
lemma/87001,L18672
lemma/87003,L18673
lemma/87004,L18674
lemma/87008,L18675
lemma/87011,L18676
lemma/87018,L18677
lemma/87019,L18678
lemma/87021,L18679
lemma/87027,L18680
lemma/87028,L18681
lemma/87031,L18682
lemma/87033,L18684
lemma/87035,L18685
lemma/87032,L18683
lemma/87036,L18686
lemma/87039,L18687
lemma/87040,L18688
lemma/87042,L18689
lemma/87050,L18690
lemma/87053,L18691
lemma/87058,L18692
lemma/87079,L18693
lemma/87080,L18694
lemma/87081,L18695
lemma/87084,L18696
lemma/87087,L18697
lemma/87089,L18698
lemma/87091,L18699
lemma/87101,L18700
lemma/87102,L18701
lemma/87110,L18702
lemma/87112,L18703
lemma/86958,L18656
lemma/86963,L18658
lemma/86968,L18659
lemma/86971,L18660
lemma/86974,L18661
lemma/86977,L18662
lemma/86978,L18663
lemma/86979,L18664
lemma/86961,L18657
lemma/87113,L18704
lemma/86983,L18667
lemma/86988,L18670
lemma/86987,L18669
lemma/87118,L18706
lemma/87116,L18705
lemma/86985,L18668
lemma/86982,L18666
lemma/87119,L18707
lemma/87125,L18709
lemma/87122,L18708
lemma/87143,L18715
lemma/87145,L18716
lemma/87146,L18717
lemma/87148,L18718
lemma/87156,L18719
lemma/87158,L18720
lemma/87180,L18729
lemma/87190,L18730
lemma/87200,L18731
lemma/87202,L18732
lemma/87175,L18726
lemma/87177,L18727
lemma/87179,L18728
lemma/87363,L18748
lemma/87365,L18749
lemma/87336,L18741
lemma/87348,L18742
lemma/87350,L18743
lemma/87351,L18744
lemma/87352,L18745
lemma/87356,L18746
lemma/87357,L18747
lemma/87382,L18759
lemma/87383,L18760
lemma/87384,L18761
lemma/87385,L18762
lemma/87387,L18763
lemma/87388,L18764
lemma/87391,L18765
lemma/87392,L18766
lemma/87393,L18767
lemma/87396,L18768
lemma/87401,L18769
lemma/87402,L18770
lemma/87404,L18771
lemma/87403,L18772
lemma/87409,L18773
lemma/87410,L18774
lemma/87413,L18775
lemma/87414,L18776
lemma/87421,L18777
lemma/87425,L18779
lemma/87424,L18778
lemma/87427,L18780
lemma/87442,L18787
lemma/87445,L18788
lemma/87463,L18796
lemma/87464,L18797
lemma/87465,L18798
lemma/87466,L18799
lemma/87498,L18809
lemma/87441,L18786
lemma/87379,L18758
lemma/87428,L18781
lemma/87166,L18724
lemma/87128,L18711
lemma/87209,L18734
lemma/87487,L18806
lemma/87127,L18710
lemma/87367,L18751
lemma/87484,L18804
lemma/87374,L18754
lemma/87254,L18735
lemma/87488,L18807
lemma/87433,L18784
lemma/87453,L18789
lemma/87435,L18785
lemma/87485,L18805
lemma/87263,L18736
lemma/87162,L18722
lemma/87136,L18713
lemma/87165,L18723
lemma/87377,L18756
lemma/87471,L18802
lemma/87372,L18753
lemma/87375,L18755
lemma/87468,L18801
lemma/87461,L18794
lemma/87378,L18757
lemma/87457,L18792
lemma/87462,L18795
lemma/87493,L18808
lemma/87139,L18714
lemma/87429,L18782
lemma/87326,L18739
lemma/87366,L18750
lemma/87132,L18712
lemma/87174,L18725
lemma/87460,L18793
lemma/87159,L18721
lemma/87208,L18733
lemma/87264,L18737
lemma/87306,L18738
lemma/87327,L18740
lemma/87454,L18790
lemma/87476,L18803
lemma/87370,L18752
lemma/87432,L18783
lemma/87456,L18791
lemma/87467,L18800
lemma/88015,L18924
lemma/88020,L18925
lemma/88021,L18926
lemma/88078,L18950
lemma/88080,L18951
lemma/88076,L18949
lemma/88360,L18981
lemma/88362,L18982
lemma/88363,L18983
lemma/88433,L19005
