lila_lemma	lila_inftype	inftype_qid
lemma/156068	v5r	Q336
lemma/156182	v1e	Q346
lemma/100233	v1r	Q331
lemma/100318	v1r	Q331
lemma/101606	v1r	Q331
lemma/102317	v1r	Q331
lemma/102347	v1r	Q331
lemma/102454	v1r	Q331
lemma/102883	v1r	Q331
lemma/103317	v3r	Q334
lemma/103553	v1r	Q331
lemma/103600	v1d	Q330
lemma/104113	v3r	Q334
lemma/104575	v1r	Q331
lemma/105225	v1r	Q331
lemma/106786	v3r	Q334
lemma/106873	v3r	Q334
lemma/107358	v1d	Q330
lemma/107359	v1r	Q331
lemma/107949	v1r	Q331
lemma/108351	v3r	Q334
lemma/108686	v1d	Q330
lemma/108722	v2r	Q332
lemma/109427	v5r	Q336
lemma/109960	v1r	Q331
lemma/111037	v3r	Q334
lemma/111285	v1r	Q331
lemma/112662	v5r	Q336
lemma/114058	v1d	Q330
lemma/114362	v1r	Q331
lemma/114436	v1r	Q331
lemma/114466	v1r	Q331
lemma/116288	v1r	Q331
lemma/116341	v1r	Q331
lemma/116691	v1r	Q331
lemma/116888	v2r	Q332
lemma/117290	v1d	Q330
lemma/117341	v3r	Q334
lemma/118659	v1r	Q331
lemma/119006	v1r	Q331
lemma/119039	v1d	Q330
lemma/119339	v1r	Q331
lemma/119743	v1r	Q331
lemma/120078	v4r	Q335
lemma/120173	v3r	Q334
lemma/120208	v3r	Q334
lemma/121190	v1r	Q331
lemma/121652	v3r	Q334
lemma/122385	v3r	Q334
lemma/122647	v1r	Q331
lemma/122671	v3r	Q334
lemma/122677	v3r	Q334
lemma/122728	v3r	Q334
lemma/122890	v1d	Q330
lemma/123476	v1r	Q331
lemma/124554	v1r	Q331
lemma/125123	v1d	Q330
lemma/125124	v1r	Q331
lemma/125812	v3r	Q334
lemma/125993	v1r	Q331
lemma/125997	v1r	Q331
lemma/126450	v3r	Q334
lemma/126507	v3r	Q334
lemma/126869	v3r	Q334
lemma/126908	v1r	Q331
lemma/126966	v3r	Q334
lemma/128444	v3r	Q334
lemma/129106	v1r	Q331
lemma/129200	v5r	Q336
lemma/129469	v5r	Q336
lemma/129770	v6r	Q337
lemma/131216	v1r	Q331
lemma/138011	v1r	Q331
lemma/26038	v1r	Q331
lemma/26491	v1r	Q331
lemma/26703	v1r	Q331
lemma/27102	v1r	Q331
lemma/27212	v1r	Q331
lemma/27349	v1r	Q331
lemma/28031	v1r	Q331
lemma/28318	v1r	Q331
lemma/28355	v1r	Q331
lemma/32113	v1r	Q331
lemma/35842	v4r	Q335
lemma/37331	v1r	Q331
lemma/40235	v1r	Q331
lemma/41629	v1r	Q331
lemma/42537	v3	Q333
lemma/43977	v1r	Q331
lemma/44794	v1r	Q331
lemma/46417	v1r	Q331
