lemma	lemmaLabel	variant	variantLabel
lemma/107358	indignor	lemma/107359	indigno
lemma/107359	indigno	lemma/107358	indignor
lemma/111285	magistro	lemma/63151	magistror
lemma/125123	somnior	lemma/125124	somnio
lemma/125124	somnio	lemma/125123	somnior
lemma/63151	magistror	lemma/111285	magistro
lemma/87754	aedituor	lemma/87755	aedituo
lemma/87755	aedituo	lemma/87754	aedituor
lemma/89811	arcesso	lemma/89812	accersio
lemma/89812	accersio	lemma/89811	arcesso
lemma/95197	commoror	lemma/95198	commoro
lemma/95198	commoro	lemma/95197	commoror
lemma/99404	dignor	lemma/99405	digno
lemma/99405	digno	lemma/99404	dignor
lemma/106592	impinguo	lemma/58625	impinguor
lemma/108063	insanio	lemma/59733	insanior
lemma/109784	lamentor	lemma/109785	lamento
lemma/109785	lamento	lemma/109784	lamentor
lemma/110011	latibulor	lemma/110012	latibulo
lemma/110012	latibulo	lemma/110011	latibulor
lemma/115736	palor	lemma/115737	palo
lemma/115737	palo	lemma/115736	palor
lemma/122358	ratiocinor	lemma/75236	ratiocino
lemma/126367	subsidior	lemma/83006	subsidio
lemma/130183	uigilo	lemma/85087	uigilor
lemma/43991	contuto	lemma/96404	contutor
lemma/58625	impinguor	lemma/106592	impinguo
lemma/75236	ratiocino	lemma/122358	ratiocinor
lemma/83006	subsidio	lemma/126367	subsidior
lemma/85087	uigilor	lemma/130183	uigilo
lemma/87651	adueneror	lemma/87652	aduenero
lemma/87652	aduenero	lemma/87651	adueneror
lemma/88677	amicor	lemma/88678	amico
lemma/88678	amico	lemma/88677	amicor
lemma/93957	cieo	lemma/93958	cio
lemma/93958	cio	lemma/93957	cieo
lemma/96404	contutor	lemma/43991	contuto
lemma/103921	fugo	lemma/103922	fugio
lemma/110995	lurcor	lemma/110996	lurco
lemma/110996	lurco	lemma/110995	lurcor
lemma/114003	nundinor	lemma/114004	nundino
lemma/114004	nundino	lemma/114003	nundinor
lemma/122571	reliquor	lemma/122572	reliquo
lemma/122572	reliquo	lemma/122571	reliquor
lemma/122678	repraesento	lemma/76316	repraesentor
lemma/122729	resono	lemma/122730	resono
lemma/122730	resono	lemma/122729	resono
lemma/123647	scateo	lemma/123648	scato
lemma/123648	scato	lemma/123647	scateo
lemma/131071	uetustor	lemma/131072	uetusto
lemma/131072	uetusto	lemma/131071	uetustor
lemma/76316	repraesentor	lemma/122678	repraesento
lemma/95155	commiseror	lemma/95156	commisero
lemma/95156	commisero	lemma/95155	commiseror
lemma/102015	exheredo	lemma/50679	exheredor
lemma/104474	geniculo	lemma/104473	geniculor
lemma/107792	ingeniculo	lemma/59460	ingeniculor
lemma/118311	polluor	lemma/118312	polluo
lemma/118312	polluo	lemma/118311	polluor
lemma/50679	exheredor	lemma/102015	exheredo
