prs.act.inf	Q71668
prs.act.ind.1.sg	Q71669
prs.act.ind.2.sg	Q71670
prs.act.ind.3.sg	Q71671
prs.act.ind.1.pl	Q71672
prs.act.ind.2.pl	Q71673
prs.act.ind.3.pl	Q71674
prs.act.sbjv.1.sg	Q71675
prs.act.sbjv.2.sg	Q71676
prs.act.sbjv.3.sg	Q71677
prs.act.sbjv.1.pl	Q71678
prs.act.sbjv.2.pl	Q71679
prs.act.sbjv.3.pl	Q71680
prs.act.imp.2.sg	Q71681
prs.act.imp.2.pl	Q71682
prs.act.ptcp.nom.m.sg	Q71683
prs.act.ptcp.nom.f.sg	Q71684
prs.act.ptcp.nom.n.sg	Q71685
prs.act.ptcp.nom.m.pl	Q71686
prs.act.ptcp.nom.f.pl	Q71687
prs.act.ptcp.nom.n.pl	Q71688
prs.act.ptcp.gen.m.sg	Q71689
prs.act.ptcp.gen.f.sg	Q71690
prs.act.ptcp.gen.n.sg	Q71691
prs.act.ptcp.gen.m.pl	Q71692
prs.act.ptcp.gen.f.pl	Q71693
prs.act.ptcp.gen.n.pl	Q71694
prs.act.ptcp.dat.m.sg	Q71695
prs.act.ptcp.dat.f.sg	Q71696
prs.act.ptcp.dat.n.sg	Q71697
prs.act.ptcp.dat.m.pl	Q71698
prs.act.ptcp.dat.f.pl	Q71699
prs.act.ptcp.dat.n.pl	Q71700
prs.act.ptcp.acc.m.sg	Q71701
prs.act.ptcp.acc.f.sg	Q71702
prs.act.ptcp.acc.n.sg	Q71703
prs.act.ptcp.acc.m.pl	Q71704
prs.act.ptcp.acc.f.pl	Q71705
prs.act.ptcp.acc.n.pl	Q71706
prs.act.ptcp.abl.m.sg	Q71707
prs.act.ptcp.abl.f.sg	Q71708
prs.act.ptcp.abl.n.sg	Q71709
prs.act.ptcp.abl.m.pl	Q71710
prs.act.ptcp.abl.f.pl	Q71711
prs.act.ptcp.abl.n.pl	Q71712
prs.act.ptcp.voc.m.sg	Q71713
prs.act.ptcp.voc.f.sg	Q71714
prs.act.ptcp.voc.n.sg	Q71715
prs.act.ptcp.voc.m.pl	Q71716
prs.act.ptcp.voc.f.pl	Q71717
prs.act.ptcp.voc.n.pl	Q71718
prs.pass.inf	Q71719
prs.pass.ind.1.sg	Q71720
prs.pass.ind.2.sg	Q71721
prs.pass.ind.3.sg	Q71722
prs.pass.ind.1.pl	Q71723
prs.pass.ind.2.pl	Q71724
prs.pass.ind.3.pl	Q71725
prs.pass.sbjv.1.sg	Q71726
prs.pass.sbjv.2.sg	Q71727
prs.pass.sbjv.3.sg	Q71728
prs.pass.sbjv.1.pl	Q71729
prs.pass.sbjv.2.pl	Q71730
prs.pass.sbjv.3.pl	Q71731
prs.pass.imp.2.sg	Q71732
prs.pass.imp.2.pl	Q71733
iprf.act.ind.1.sg	Q71734
iprf.act.ind.2.sg	Q71735
iprf.act.ind.3.sg	Q71736
iprf.act.ind.1.pl	Q71737
iprf.act.ind.2.pl	Q71738
iprf.act.ind.3.pl	Q71739
iprf.act.sbjv.1.sg	Q71740
iprf.act.sbjv.2.sg	Q71741
iprf.act.sbjv.3.sg	Q71742
iprf.act.sbjv.1.pl	Q71743
iprf.act.sbjv.2.pl	Q71744
iprf.act.sbjv.3.pl	Q71745
iprf.pass.ind.1.sg	Q71746
iprf.pass.ind.2.sg	Q71747
iprf.pass.ind.3.sg	Q71748
iprf.pass.ind.1.pl	Q71749
iprf.pass.ind.2.pl	Q71750
iprf.pass.ind.3.pl	Q71751
iprf.pass.sbjv.1.sg	Q71752
iprf.pass.sbjv.2.sg	Q71753
iprf.pass.sbjv.3.sg	Q71754
iprf.pass.sbjv.1.pl	Q71755
iprf.pass.sbjv.2.pl	Q71756
iprf.pass.sbjv.3.pl	Q71757
fut.act.ind.1.sg	Q71758
fut.act.ind.2.sg	Q71759
fut.act.ind.3.sg	Q71760
fut.act.ind.1.pl	Q71761
fut.act.ind.2.pl	Q71762
fut.act.ind.3.pl	Q71763
fut.act.imp.2.sg	Q71764
fut.act.imp.3.sg	Q71765
fut.act.imp.2.pl	Q71766
fut.act.imp.3.pl	Q71767
fut.act.ptcp.nom.m.sg	Q71768
fut.act.ptcp.nom.f.sg	Q71769
fut.act.ptcp.nom.n.sg	Q71770
fut.act.ptcp.nom.m.pl	Q71771
fut.act.ptcp.nom.f.pl	Q71772
fut.act.ptcp.nom.n.pl	Q71773
fut.act.ptcp.gen.m.sg	Q71774
fut.act.ptcp.gen.f.sg	Q71775
fut.act.ptcp.gen.n.sg	Q71776
fut.act.ptcp.gen.m.pl	Q71777
fut.act.ptcp.gen.f.pl	Q71778
fut.act.ptcp.gen.n.pl	Q71779
fut.act.ptcp.dat.m.sg	Q71780
fut.act.ptcp.dat.f.sg	Q71781
fut.act.ptcp.dat.n.sg	Q71782
fut.act.ptcp.dat.m.pl	Q71783
fut.act.ptcp.dat.f.pl	Q71784
fut.act.ptcp.dat.n.pl	Q71785
fut.act.ptcp.acc.m.sg	Q71786
fut.act.ptcp.acc.f.sg	Q71787
fut.act.ptcp.acc.n.sg	Q71788
fut.act.ptcp.acc.m.pl	Q71789
fut.act.ptcp.acc.f.pl	Q71790
fut.act.ptcp.acc.n.pl	Q71791
fut.act.ptcp.abl.m.sg	Q71792
fut.act.ptcp.abl.f.sg	Q71793
fut.act.ptcp.abl.n.sg	Q71794
fut.act.ptcp.abl.m.pl	Q71795
fut.act.ptcp.abl.f.pl	Q71796
fut.act.ptcp.abl.n.pl	Q71797
fut.act.ptcp.voc.m.sg	Q71798
fut.act.ptcp.voc.f.sg	Q71799
fut.act.ptcp.voc.n.sg	Q71800
fut.act.ptcp.voc.m.pl	Q71801
fut.act.ptcp.voc.f.pl	Q71802
fut.act.ptcp.voc.n.pl	Q71803
fut.pass.ind.1.sg	Q71804
fut.pass.ind.2.sg	Q71805
fut.pass.ind.3.sg	Q71806
fut.pass.ind.1.pl	Q71807
fut.pass.ind.2.pl	Q71808
fut.pass.ind.3.pl	Q71809
fut.pass.imp.2.sg	Q71810
fut.pass.imp.3.sg	Q71811
fut.pass.imp.3.pl	Q71812
prf.act.inf	Q71813
prf.act.ind.1.sg	Q71814
prf.act.ind.2.sg	Q71815
prf.act.ind.3.sg	Q71816
prf.act.ind.1.pl	Q71817
prf.act.ind.2.pl	Q71818
prf.act.ind.3.pl	Q71819
prf.act.sbjv.1.sg	Q71820
prf.act.sbjv.2.sg	Q71821
prf.act.sbjv.3.sg	Q71822
prf.act.sbjv.1.pl	Q71823
prf.act.sbjv.2.pl	Q71824
prf.act.sbjv.3.pl	Q71825
prf.pass.ptcp.nom.m.sg	Q71826
prf.pass.ptcp.nom.f.sg	Q71827
prf.pass.ptcp.nom.n.sg	Q71828
prf.pass.ptcp.nom.m.pl	Q71829
prf.pass.ptcp.nom.f.pl	Q71830
prf.pass.ptcp.nom.n.pl	Q71831
prf.pass.ptcp.gen.m.sg	Q71832
