lexeme	lila_lemma	wikibase_entry
a0010	86835	L10615
a0015	86840	L10616
a0018	86843	L10617
a0021	86847	L10618
a0022	86848	L10619
a0027	86853	L10620
a0030	86856	L10621
a0034	86860	L10622
a0035	86861	L10623
a0038	86865	L10624
a0040	86867	L10625
a0042	86872	L10626
a0043	86873	L10627
a0044	86874	L10628
a0046	86876	L10629
a0047	86877	L10630
a0048	86878	L10631
a0050	86880	L10632
a0050_sc	86881	L10633
a0052	86883	L10634
a0053	86884	L10635
a0061	86893	L10636
a0063	86895	L10637
a0066	86898	L10638
a0067	86899	L10639
a0068	86900	L10640
a0069	86901	L10641
a0072	86904	L10642
a0073	86905	L10643
a0075	86907	L10644
a0077	86909	L10645
a0083	86916	L10646
a0085	86918	L10647
a0089	86922	L10648
a0090	86923	L10649
a0091	86924	L10650
a0097	86930	L10651
a0101	86934	L10652
a0104	86937	L10653
a0105	86938	L10654
a0110	86944	L10655
a0111	86945	L10656
a0113	86948	L10657
a0114	86949	L10658
a0122	86958	L10659
a0125	86961	L10660
a0127	86963	L10661
a0130	86968	L10662
a0133	86971	L10663
a0136	86974	L10664
a0139	86977	L10665
a0140	86978	L10666
a0141	86979	L10667
a0143	86981	L10668
a0144	86982	L10669
a0145	86983	L10670
a0147	86985	L10671
a0149	86987	L10672
a0150	86988	L10673
a0162	87001	L10674
a0164	87003	L10675
a0165	87004	L10676
a0169	87008	L10677
a0172	87011	L10678
a0178	87018	L10679
a0179	87019	L10680
a0187	87027	L10681
a0188	87028	L10682
a0192	87032	L10683
a0193	87033	L10684
a0195	87035	L10685
a0196	87036	L10686
a0199	87039	L10687
a0200	87040	L10688
a0209	87050	L10689
a0212	87053	L10690
a0217	87058	L10691
a0236	87079	L10692
a0237	87080	L10693
a0238	87081	L10694
a0243	87087	L10695
a0245	87089	L10696
a0247	87091	L10697
a0257	87101	L10698
a0258	87102	L10699
a0266	87110	L10700
a0268	87112	L10701
a0269	87113	L10702
a0272	87116	L10703
a0274	87118	L10704
a0275	87119	L10705
a0278	87122	L10706
a0281	87125	L10707
a0283	87127	L10708
a0284	87128	L10709
a0288	87132	L10710
a0291	87136	L10711
a0294	87139	L10712
a0300	87145	L10713
a0301	87146	L10714
a0303	87148	L10715
a0311	87156	L10716
a0313	87158	L10717
a0314	87159	L10718
a0317	87162	L10719
a0320	87165	L10720
a0321	87166	L10721
a0328	87174	L10722
a0329	87175	L10723
a0331	87177	L10724
a0333	87179	L10725
a0333_sc	87180	L10726
a0342	87190	L10727
a0352	87200	L10728
a0354	87202	L10729
a0358	87208	L10730
a0358_sc	87209	L10731
a0400	87254	L10732
a0445	87306	L10733
a0463	87326	L10734
a0464	87327	L10735
a0471	87336	L10736
a0483	87348	L10737
a0485	87350	L10738
a0486	87351	L10739
a0487	87352	L10740
a0491	87356	L10741
a0492	87357	L10742
a0498	87363	L10743
a0500	87365	L10744
a0501	87366	L10745
a0502	87367	L10746
a0505	87370	L10747
a0506	87372	L10748
a0508	87374	L10749
a0509	87375	L10750
a0511	87377	L10751
a0512	87378	L10752
a0513	87379	L10753
a0516	87382	L10754
a0517	87383	L10755
a0518	87384	L10756
a0519	87385	L10757
a0521	87387	L10758
a0522	87388	L10759
a0525	87391	L10760
a0526	87392	L10761
a0527	87393	L10762
a0530	87396	L10763
a0535	87401	L10764
a0536	87402	L10765
a0537	87404	L10766
a0537_sc	87403	L10767
a0541	87409	L10768
a0542	87410	L10769
a0545	87413	L10770
a0546	87414	L10771
a0553	87421	L10772
a0556	87424	L10773
a0557	87425	L10774
a0559	87427	L10775
a0561	87429	L10776
a0564	87432	L10777
a0565	87433	L10778
a0567	87435	L10779
a0573	87441	L10780
a0574	87442	L10781
a0577	87445	L10782
a0585	87453	L10783
a0586	87454	L10784
a0588	87456	L10785
a0589	87457	L10786
a0592	87460	L10787
a0593	87461	L10788
a0594	87462	L10789
a0595	87463	L10790
a0596	87464	L10791
a0597	87465	L10792
a0598	87466	L10793
a0599	87467	L10794
a0600	87468	L10795
a0603	87471	L10796
a0607	87476	L10797
a0614	87484	L10798
a0615	87485	L10799
a0617	87487	L10800
a0618	87488	L10801
a0623	87493	L10802
a0628	87498	L10803
a0639	87510	L10804
a0640	87511	L10805
a0641	87512	L10806
a0643	87514	L10807
a0645	87516	L10808
a0646	87517	L10809
a0647	87518	L10810
a0648	87519	L10811
a0653	87525	L10812
a0662	87535	L10813
a0668	87542	L10814
a0669	87543	L10815
a0676	87551	L10816
a0679	87554	L10817
a0680	87556	L10818
a0682	87558	L10819
a0683	87559	L10820
a0684	87560	L10821
a0690	87566	L10822
a0693	87569	L10823
a0694	87570	L10824
a0695	87571	L10825
a0697	87574	L10826
a0698	87575	L10827
a0699	87576	L10828
a0700	87577	L10829
a0701	87578	L10830
a0703	87580	L10831
a0704	87581	L10832
a0707	87584	L10833
a0708	87585	L10834
a0709	87586	L10835
a0716	87594	L10836
a0717	87595	L10837
a0718	87596	L10838
a0719	87597	L10839
a0721	87599	L10840
a0722	87600	L10841
a0723	87601	L10842
a0724	87602	L10843
a0729	87607	L10844
a0730	87608	L10845
a0732	87610	L10846
a0733	87611	L10847
a0740	87620	L10848
a0748	87628	L10849
a0751	87632	L10850
a0752	87633	L10851
a0753	87634	L10852
a0754	87635	L10853
a0757	87638	L10854
a0758	87639	L10855
a0759	87640	L10856
a0760	87641	L10857
a0761	87642	L10858
a0764	87645	L10859
a0766	87647	L10860
a0768	87649	L10861
a0770	87652	L10862
a0772	87654	L10863
a0774	87657	L10864
a0777	87661	L10865
a0780	87664	L10866
a0781	87665	L10867
a0792	87676	L10868
a0793	87677	L10869
a0796	87682	L10870
a0797	87683	L10871
a0799	87685	L10872
a0800	87686	L10873
a0807	87693	L10874
a0809	87695	L10875
a0810	87697	L10876
a0811	87698	L10877
a0820	87710	L10878
a0822	87712	L10879
a0829	87719	L10880
a0831	87721	L10881
a0832	87722	L10882
a0833	87723	L10883
a0835	87725	L10884
a0836	87726	L10885
a0841	87732	L10886
a0852	87744	L10887
a0860	87752	L10888
a0862	87755	L10889
a0880	87780	L10890
a0880_sc	87781	L10891
a0890	87792	L10892
a0900	87804	L10893
a0940	87847	L10894
a0951	87859	L10895
a0961	87869	L10896
a0985	87899	L10897
a0994	87908	L10898
a1003	87917	L10899
a1014	87928	L10900
a1025	87940	L10901
a1028	87943	L10902
a1034	87951	L10903
a1042	87960	L10904
a1054	87974	L10905
a1064	87985	L10906
a1076	87998	L10907
a1080	88002	L10908
a1081	88003	L10909
a1084	88006	L10910
a1085	88007	L10911
a1087	88009	L10912
a1093	88015	L10913
a1098	88020	L10914
a1099	88021	L10915
a1101	88023	L10916
a1104	88026	L10917
a1105	88027	L10918
a1108	88030	L10919
a1111	88033	L10920
a1112	88034	L10921
a1113	88035	L10922
a1115	88037	L10923
a1117	88039	L10924
a1118	88040	L10925
a1119	88041	L10926
a1120	88042	L10927
a1122	88044	L10928
a1139	88063	L10929
a1140	88064	L10930
a1141	88065	L10931
a1142	88066	L10932
a1144	88068	L10933
a1149	88073	L10934
a1150	88074	L10935
a1152	88076	L10936
a1154	88078	L10937
a1156	88080	L10938
a1157	88081	L10939
a1158	88083	L10940
a1164	88091	L10941
a1169	88096	L10942
a1176	88103	L10943
a1188	88116	L10944
a1208	88140	L10945
a1216	88152	L10946
a1236	88177	L10947
a1250	88191	L10948
a1267	88211	L10949
a1282	88232	L10950
a1285	88236	L10951
a1290	88242	L10952
a1299	88251	L10953
a1333	88293	L10954
a1337	88297	L10955
a1337_sc	88298	L10956
a1359	88326	L10957
a1362	88329	L10958
a1378	88348	L10959
a1379	88349	L10960
a1384	88354	L10961
a1385	88355	L10962
a1386	88356	L10963
a1387	88357	L10964
a1388	88358	L10965
a1390	88360	L10966
a1392	88362	L10967
a1393	88363	L10968
a1398	88368	L10969
a1403	88373	L10970
a1404	88374	L10971
a1408	88378	L10972
a1414	88384	L10973
a1416	88386	L10974
a1418	88389	L10975
a1424	88395	L10976
a1425	88396	L10977
a1426	88397	L10978
a1428	88399	L10979
a1434	88405	L10980
a1436	88407	L10981
a1437	88408	L10982
a1439	88410	L10983
a1440	88411	L10984
a1441	88412	L10985
a1442	88413	L10986
a1457	88429	L10987
a1461	88433	L10988
a1474	88447	L10989
a1476	88449	L10990
a1486	88461	L10991
a1493	88468	L10992
a1495	88470	L10993
a1499	88474	L10994
a1508	88484	L10995
a1527	88503	L10996
a1552	88533	L10997
a1570	88555	L10998
a1571	88556	L10999
a1576	88563	L11000
a1578	88566	L11001
a1579	88567	L11002
a1585	88574	L11003
a1586	88575	L11004
a1590	88579	L11005
a1600	88591	L11006
a1612	88603	L11007
a1622	88613	L11008
a1626	88618	L11009
a1650	88642	L11010
a1653	88645	L11011
a1679	88674	L11012
a1682	88678	L11013
a1684	88680	L11014
a1688	88685	L11015
a1692	88691	L11016
a1694	88693	L11017
a1705	88705	L11018
a1709	88709	L11019
a1712	88713	L11020
a1723	88724	L11021
a1724	88725	L11022
a1752	88756	L11023
a1762	88768	L11024
a1766	88773	L11025
a1772	88779	L11026
a1774	88781	L11027
a1777	88784	L11028
a1786	88793	L11029
a1792	88799	L11030
a1812	88822	L11031
a1874	88891	L11032
a1875	88892	L11033
a1878	88896	L11034
a1895	88914	L11035
a1896	88915	L11036
a1899	88918	L11037
a1919	88943	L11038
a1925	88951	L11039
a1944	88974	L11040
a1951	88982	L11041
a1957	88988	L11042
a1957_sc	88989	L11043
a1971	89009	L11044
a1983	89023	L11045
a2002	89044	L11046
a2009	89053	L11047
a2015	89060	L11048
a2026	89073	L11049
a2041	89089	L11050
a2059	89109	L11051
a2062	89112	L11052
a2065	89117	L11053
a2071	89123	L11054
a2090	89144	L11055
a2112	89168	L11056
a2117	89173	L11057
a2118	89174	L11058
a2124	89180	L11059
a2128	89184	L11060
a2134	89191	L11061
a2135	89192	L11062
a2141	89198	L11063
a2150	89207	L11064
a2157	89214	L11065
a2164	89221	L11066
a2165	89222	L11067
a2176	89233	L11068
a2177	89234	L11069
a2180	89237	L11070
a2183	89241	L11071
a2184	89242	L11072
a2185	89243	L11073
a2225	89287	L11074
a2252	89321	L11075
a2261	89331	L11076
a2270	89342	L11077
a2278	89351	L11078
a2285	89358	L11079
a2299	89372	L11080
a2302	89375	L11081
a2303	89376	L11082
a2317	89391	L11083
a2322	89397	L11084
a2327	89402	L11085
a2364	89449	L11086
a2365	89451	L11087
a2384	89473	L11088
a2395	89485	L11089
a2404	89494	L11090
a2412	89504	L11091
a2417	89509	L11092
a2418	89510	L11093
a2428	89523	L11094
a2439	89534	L11095
a2442	89538	L11096
a2453	89552	L11097
a2460	89559	L11098
a2468	89567	L11099
a2469	89568	L11100
a2473	89572	L11101
a2474	89573	L11102
a2476	89575	L11103
a2480	89579	L11104
a2481	89580	L11105
a2482	89581	L11106
a2485	89584	L11107
a2488	89587	L11108
a2491	89590	L11109
a2494	89593	L11110
a2500	89599	L11111
a2501	89600	L11112
a2510	89610	L11113
a2512	89612	L11114
a2516	89616	L11115
a2517	89617	L11116
a2520	89620	L11117
a2522	89622	L11118
a2526	89626	L11119
a2528	89628	L11120
a2535	89635	L11121
a2538	89638	L11122
a2539	89639	L11123
a2540	89640	L11124
a2542	89642	L11125
a2543	89643	L11126
a2545	89645	L11127
a2546	89646	L11128
a2547	89647	L11129
a2548	89648	L11130
a2553	89654	L11131
a2575	89681	L11132
a2622	89734	L11133
a2658	89779	L11134
a2662	89783	L11135
a2669	89790	L11136
a2683	89806	L11137
a2724	89853	L11138
a2727	89857	L11139
a2763	89896	L11140
a2767	89900	L11141
a2773	89906	L11142
a2777	89911	L11143
a2778	89912	L11144
a2778_sc	89913	L11145
a2806	89944	L11146
a2809	89947	L11147
a2816	89955	L11148
a2834	89974	L11149
a2888	90036	L11150
a2895	90045	L11151
a2901	90052	L11152
a2912	90066	L11153
a2918	90073	L11154
a2919	90074	L11155
a2920	90075	L11156
a2921	90076	L11157
a2924	90079	L11158
