lexeme	lila_lemma	wikibase_entry
a0010	86835	L18610
a0015	86840	L18611
a0018	86843	L18612
a0021	86847	L18613
a0022	86848	L18614
a0027	86853	L18615
a0030	86856	L18616
a0034	86860	L18617
a0035	86861	L18618
a0038	86865	L18619
a0040	86867	L18620
a0042	86872	L18621
a0043	86873	L18622
a0044	86874	L18623
a0046	86876	L18624
a0047	86877	L18625
a0048	86878	L18626
a0050	86880	L18627
a0050_sc	86881	L18628
a0052	86883	L18629
a0053	86884	L18630
a0061	86893	L18631
a0063	86895	L18632
a0066	86898	L18633
a0067	86899	L18634
a0068	86900	L18635
a0069	86901	L18636
a0072	86904	L18637
a0073	86905	L18638
a0075	86907	L18639
a0077	86909	L18640
a0083	86916	L18641
a0085	86918	L18642
a0086	86919	L18643
a0089	86922	L18644
a0090	86923	L18645
a0091	86924	L18646
a0097	86930	L18647
a0101	86934	L18648
a0104	86937	L18649
a0105	86939	L18650
a0110	86944	L18651
a0111	86946	L18652
a0113	86948	L18653
a0114	86949	L18654
a0116	86951	L18655
a0122	86958	L18656
a0125	86961	L18657
a0127	86963	L18658
a0130	86968	L18659
a0133	86971	L18660
a0136	86974	L18661
a0139	86977	L18662
a0140	86978	L18663
a0141	86979	L18664
a0143	86981	L18665
a0144	86982	L18666
a0145	86983	L18667
a0147	86985	L18668
a0149	86987	L18669
a0150	86988	L18670
a0155	86994	L18671
a0162	87001	L18672
a0164	87003	L18673
a0165	87004	L18674
a0169	87008	L18675
a0172	87011	L18676
a0178	87018	L18677
a0179	87019	L18678
a0181	87021	L18679
a0187	87027	L18680
a0188	87028	L18681
a0191	87031	L18682
a0192	87032	L18683
a0193	87033	L18684
a0195	87035	L18685
a0196	87036	L18686
a0199	87039	L18687
a0200	87040	L18688
a0202	87042	L18689
a0209	87050	L18690
a0212	87053	L18691
a0217	87058	L18692
a0236	87079	L18693
a0237	87080	L18694
a0238	87081	L18695
a0240	87084	L18696
a0243	87087	L18697
a0245	87089	L18698
a0247	87091	L18699
a0257	87101	L18700
a0258	87102	L18701
a0266	87110	L18702
a0268	87112	L18703
a0269	87113	L18704
a0272	87116	L18705
a0274	87118	L18706
a0275	87119	L18707
a0278	87122	L18708
a0281	87125	L18709
a0283	87127	L18710
a0284	87128	L18711
a0288	87132	L18712
a0291	87136	L18713
a0294	87139	L18714
a0298	87143	L18715
a0300	87145	L18716
a0301	87146	L18717
a0303	87148	L18718
a0311	87156	L18719
a0313	87158	L18720
a0314	87159	L18721
a0317	87162	L18722
a0320	87165	L18723
a0321	87166	L18724
a0328	87174	L18725
a0329	87175	L18726
a0331	87177	L18727
a0333	87179	L18728
a0333_sc	87180	L18729
a0342	87190	L18730
a0352	87200	L18731
a0354	87202	L18732
a0358	87208	L18733
a0358_sc	87209	L18734
a0400	87254	L18735
a0406	87263	L18736
a0407	87264	L18737
a0445	87306	L18738
a0463	87326	L18739
a0464	87327	L18740
