lexeme	lila_lemma	wikibase_entry
a0200	L18688
a0010	L18610
a0015	L18611
a0018	L18612
a0021	L18613
a0022	L18614
a0027	L18615
a0030	L18616
a0034	L18617
a0035	L18618
a0038	L18619
a0040	L18620
a0042	L18621
a0043	L18622
a0044	L18623
a0046	L18624
a0047	L18625
a0048	L18626
a0050	L18627
a0050_sc	L18628
a0052	L18629
a0053	L18630
a0061	L18631
a0063	L18632
a0066	L18633
a0067	L18634
a0068	L18635
a0069	L18636
a0072	L18637
a0073	L18638
a0075	L18639
a0077	L18640
a0083	L18641
a0085	L18642
a0086	L18643
a0089	L18644
a0090	L18645
a0091	L18646
a0097	L18647
a0101	L18648
a0104	L18649
a0105	L18650
a0110	L18651
a0111	L18652
a0113	L18653
a0114	L18654
a0116	L18655
a0122	L18656
a0125	L18657
a0127	L18658
a0130	L18659
a0133	L18660
a0136	L18661
a0139	L18662
a0140	L18663
a0141	L18664
a0143	L18665
a0145	L18667
a0147	L18668
a0149	L18669
a0150	L18670
a0155	L18671
a0162	L18672
a0164	L18673
a0165	L18674
a0169	L18675
a0172	L18676
a0178	L18677
a0179	L18678
a0181	L18679
a0187	L18680
a0188	L18681
a0191	L18682
a0192	L18683
a0193	L18684
a0195	L18685
a0196	L18686
a0199	L18687
a0202	L18689
a0209	L18690
a0212	L18691
a0217	L18692
a0236	L18693
a0237	L18694
a0238	L18695
a0240	L18696
a0243	L18697
a0245	L18698
a0247	L18699
a0257	L18700
a0258	L18701
a0266	L18702
a0268	L18703
a0269	L18704
a0272	L18705
a0274	L18706
a0275	L18707
a0278	L18708
a0281	L18709
a0283	L18710
a0284	L18711
a0288	L18712
a0291	L18713
a0294	L18714
a0298	L18715
a0300	L18716
a0301	L18717
a0303	L18718
a0311	L18719
a0313	L18720
a0314	L18721
a0317	L18722
a0320	L18723
a0321	L18724
a0328	L18725
a0329	L18726
a0331	L18727
a0333	L18728
a0333_sc	L18729
a0342	L18730
a0352	L18731
a0354	L18732
a0358	L18733
a0358_sc	L18734
a0400	L18735
a0406	L18736
a0407	L18737
a0445	L18738
a0463	L18739
a0464	L18740
a0471	L18741
a0483	L18742
a0485	L18743
a0486	L18744
a0487	L18745
a0491	L18746
a0492	L18747
a0498	L18748
a0500	L18749
a0501	L18750
a0502	L18751
a0505	L18752
a0506	L18753
a0508	L18754
a0509	L18755
a0511	L18756
a0512	L18757
a0513	L18758
a0516	L18759
a0517	L18760
a0518	L18761
a0519	L18762
a0521	L18763
a0522	L18764
a0525	L18765
a0526	L18766
a0527	L18767
a0530	L18768
a0535	L18769
a0536	L18770
a0537	L18771
a0537_sc	L18772
a0541	L18773
a0542	L18774
a0545	L18775
a0546	L18776
a0553	L18777
a0556	L18778
a0557	L18779
a0559	L18780
a0560	L18781
a0561	L18782
a0564	L18783
a0565	L18784
a0567	L18785
a0573	L18786
a0574	L18787
a0577	L18788
a0585	L18789
a0586	L18790
a0588	L18791
a0589	L18792
a0592	L18793
a0593	L18794
a0594	L18795
a0595	L18796
a0596	L18797
a0597	L18798
a0598	L18799
a0599	L18800
a0600	L18801
a0603	L18802
a0607	L18803
a0614	L18804
a0615	L18805
a0617	L18806
a0618	L18807
a0623	L18808
a0628	L18809
a0630	L18810
a0639	L18811
a0640	L18812
a0641	L18813
a0643	L18814
a0645	L18815
a0646	L18816
a0647	L18817
a0648	L18818
a0653	L18819
a0662	L18820
a0668	L18821
a0669	L18822
a0676	L18823
a0679	L18824
a0680	L18825
a0682	L18826
a0683	L18827
a0684	L18828
a0690	L18829
a0692	L18830
a0693	L18831
a0694	L18832
a0695	L18833
a0697	L18834
a0698	L18835
a0699	L18836
a0700	L18837
a0701	L18838
a0703	L18839
a0704	L18840
a0707	L18841
a0708	L18842
a0709	L18843
a0710	L18844
a0716	L18845
a0717	L18846
a0718	L18847
a0719	L18848
a0721	L18849
a0722	L18850
a0723	L18851
a0724	L18852
a0727	L18853
a0729	L18854
a0730	L18855
a0732	L18856
a0733	L18857
a0740	L18858
a0748	L18859
a0751	L18860
a0752	L18861
a0753	L18862
a0754	L18863
a0757	L18864
a0758	L18865
a0759	L18866
a0760	L18867
a0761	L18868
a0764	L18869
a0766	L18870
a0768	L18871
a0770	L18872
a0772	L18873
a0774	L18874
a0777	L18875
a0780	L18876
a0781	L18877
a0792	L18878
a0793	L18879
a0796	L18880
a0797	L18881
a0799	L18882
a0800	L18883
a0807	L18884
a0809	L18885
a0810	L18886
a0811	L18887
a0820	L18888
a0822	L18889
a0829	L18890
a0831	L18891
a0832	L18892
a0833	L18893
a0835	L18894
a0836	L18895
a0841	L18896
a0852	L18897
a0860	L18898
a0862	L18899
a0880	L18900
a0880_sc	L18901
a0890	L18902
a0900	L18903
a0940	L18904
a0951	L18905
a0961	L18906
a0985	L18907
a0994	L18908
a1003	L18909
a1014	L18910
a1025	L18911
a1028	L18912
a1034	L18913
a1042	L18914
a1054	L18915
a1064	L18916
a1076	L18917
a1079	L18918
a1080	L18919
a1081	L18920
a1084	L18921
a1085	L18922
a1087	L18923
a1093	L18924
a1098	L18925
a1099	L18926
a1101	L18927
a1104	L18928
a1105	L18929
a1108	L18930
a1111	L18931
a1112	L18932
a1113	L18933
a1114	L18934
a1115	L18935
a1116	L18936
a1117	L18937
a1118	L18938
a1119	L18939
a1120	L18940
a1122	L18941
a1139	L18942
a1140	L18943
a1141	L18944
a1142	L18945
a1144	L18946
a1149	L18947
a1150	L18948
a1152	L18949
a1154	L18950
a1156	L18951
a1157	L18952
a1158	L18953
a1164	L18954
a1169	L18955
a1176	L18956
a1183	L18957
a1204	L18959
a1208	L18960
a1216	L18961
a1236	L18962
a1250	L18963
a1267	L18964
a1282	L18965
a1285	L18966
a1290	L18967
a1299	L18968
a1333	L18969
a1337	L18970
a1337_sc	L18971
a1359	L18972
a1362	L18973
a1378	L18974
a1379	L18975
a1384	L18976
a1385	L18977
a1386	L18978
a1387	L18979
a1388	L18980
a1390	L18981
a1392	L18982
a1393	L18983
a1398	L18984
a1403	L18985
a1404	L18986
a1408	L18987
a1414	L18988
a1415	L18989
a1416	L18990
a1417	L18991
a1418	L18992
a1424	L18993
a1425	L18994
a1426	L18995
a1428	L18996
a1434	L18997
a1436	L18998
a1437	L18999
a1439	L19000
a1440	L19001
a1441	L19002
a1442	L19003
a1457	L19004
a1461	L19005
a1474	L19006
a1486	L19008
a1493	L19009
a1495	L19010
a1499	L19011
a1508	L19012
a1527	L19013
a1533	L19014
a1537	L19015
a1552	L19016
a1570	L19017
a1571	L19018
a1576	L19019
a1578	L19020
a1579	L19021
a1585	L19022
a1586	L19023
a1590	L19024
a1600	L19025
