udp	qid
Aspect#Imp	Q100
Aspect#Perf	Q101
Case#Abl	Q102
Case#Acc	Q103
Case#Dat	Q104
Case#Gen	Q105
Case#Loc	Q106
Case#Nom	Q107
Case#Voc	Q108
Degree#Abs	Q109
Degree#Cmp	Q110
Degree#Pos	Q111
Degree#Sup	Q112
Gender#Fem	Q113
Gender#Masc	Q114
Gender#Neut	Q115
Mood#Imp	Q116
Mood#Ind	Q117
Mood#Sub	Q118
Number#Plur	Q119
Number#Sing	Q120
Person#1	Q121
Person#2	Q122
Person#3	Q123
Tense#Fut	Q124
Tense#Imp	Q125
Tense#Past	Q126
Tense#Pqp	Q127
Tense#Pres	Q128
VerbForm#Fin	Q129
VerbForm#Gdv	Q130
VerbForm#Ger	Q131
VerbForm#Inf	Q132
VerbForm#Part	Q133
VerbType#Mod	Q134
Voice#Act	Q135
Voice#Pass	Q136
NumType#Card	Q137
NumType#Dist	Q138
NumType#Ord	Q139
Polarity#Neg	Q140
Poss#Yes	Q141
PronType#Dem	Q142
PronType#Dem,Ind	Q143
PronType#Dem,Prs	Q144
PronType#Emp	Q145
PronType#Ind	Q146
PronType#Ind,Int	Q147
PronType#Ind,Rel	Q148
PronType#Int,Rel	Q149
PronType#Neg	Q150
PronType#Prs	Q151
PronType#Rel	Q152
Reflex#Yes	Q153
Number[psor]#Sing	Q154
Number[psor]#Plur	Q155
VerbForm#Sup	Q156
Abbr#Yes	Q26962
