flexeme	lexeme	lila_lemma	wikibase_entry
a0010_1	a0010	86835	L3
a0015_2	a0015	86840	L4
a0015_3	a0015	86840	L5
a0018_5	a0018	86843	L6
a0021_6	a0021	86847	L7
a0021_7	a0021	86847	L8
a0022_8	a0022	86848	L9
a0027_9	a0027	86853	L10
a0030_10	a0030	86856	L11
a0030_11	a0030	86856	L12
a0034_12	a0034	86860	L13
a0035_13	a0035	86861	L14
a0038_14	a0038	86865	L15
a0038_15	a0038	86864	L16
a0040_17	a0040	86867	L17
a0040_18	a0040	86867	L18
a0042_19	a0042	86872	L19
a0043_20	a0043	86873	L20
a0044_23	a0044	86874	L21
a0046_24	a0046	86876	L22
a0047_25	a0047	86877	L23
a0048_26	a0048	86878	L24
a0050_27	a0050	86880	L25
a0050_sc_28	a0050_sc	86881	L26
a0053_30	a0053	86884	L28
a0061_31	a0061	86893	L29
a0063_32	a0063	86895	L30
a0063_33	a0063	86895	L31
a0066_34	a0066	86898	L32
a0066_35	a0066	86898	L33
a0066_36	a0066	86898	L34
a0067_37	a0067	86899	L35
a0068_38	a0068	86900	L36
a0069_39	a0069	86901	L37
a0072_40	a0072	86904	L38
a0073_41	a0073	86905	L39
a0075_42	a0075	86907	L40
a0077_43	a0077	86909	L41
a0077_44	a0077	86909	L42
a0083_45	a0083	86916	L43
a0085_46	a0085	86918	L44
a0086_47	a0086	86919	L45
a0086_48	a0086	86919	L46
a0086_49	a0086	86919	L47
a0086_50	a0086	86919	L48
a0089_51	a0089	86922	L49
a0090_52	a0090	86923	L50
a0091_53	a0091	86924	L51
a0097_54	a0097	86930	L52
a0101_55	a0101	86934	L53
a0101_56	a0101	86934	L54
a0104_57	a0104	86937	L55
a0105_58	a0105	86939	L56
a0105_59	a0105	86938	L57
a0110_60	a0110	86944	L58
a0111_61	a0111	86946	L59
a0111_62	a0111	86945	L60
a0113_63	a0113	86948	L61
a0114_64	a0114	86949	L62
a0116_65	a0116	86951	L63
a0116_66	a0116	86951	L64
a0116_67	a0116	86951	L65
a0122_68	a0122	86958	L66
a0127_71	a0127	86963	L68
a0127_72	a0127	86963	L69
a0130_73	a0130	86968	L70
a0133_74	a0133	86971	L71
a0136_75	a0136	86974	L72
a0139_76	a0139	86977	L73
a0140_77	a0140	86978	L74
a0141_78	a0141	86979	L75
a0143_79	a0143	86981	L76
a0144_80	a0144	86982	L77
a0145_81	a0145	86983	L78
a0147_82	a0147	86985	L79
a0147_83	a0147	86985	L80
a0149_84	a0149	86987	L81
a0149_85	a0149	86987	L82
a0150_86	a0150	86988	L83
a0155_87	a0155	86994	L84
a0155_88	a0155	86994	L85
a0155_89	a0155	86994	L86
a0155_90	a0155	86994	L87
a0155_91	a0155	86994	L88
a0155_92	a0155	86994	L89
a0155_93	a0155	86994	L90
a0155_94	a0155	86994	L91
a0162_95	a0162	87001	L92
a0164_96	a0164	87003	L93
a0165_97	a0165	87004	L94
a0169_98	a0169	87008	L95
a0172_99	a0172	87011	L96
a0178_100	a0178	87018	L97
a0178_101	a0178	87018	L98
a0179_102	a0179	87019	L99
a0179_103	a0179	87019	L100
a0181_104	a0181	87021	L101
a0181_105	a0181	87021	L102
a0181_106	a0181	87021	L103
a0181_107	a0181	87021	L104
a0187_112	a0187	87027	L105
a0187_113	a0187	87027	L106
a0188_114	a0188	87028	L107
a0188_115	a0188	87028	L108
a0191_116	a0191	87031	L109
a0191_117	a0191	87031	L110
a0191_118	a0191	87031	L111
a0191_119	a0191	87031	L112
a0192_120	a0192	87032	L113
a0192_121	a0192	87032	L114
a0193_122	a0193	87033	L115
a0195_123	a0195	87035	L116
a0195_124	a0195	87035	L117
a0196_125	a0196	87036	L118
a0196_126	a0196	87036	L119
a0199_127	a0199	87039	L120
a0200_128	a0200	87040	L121
a0202_131	a0202	87042	L122
a0202_132	a0202	87042	L123
a0202_133	a0202	87042	L124
a0202_134	a0202	87042	L125
a0209_135	a0209	87050	L126
a0212_136	a0212	87053	L127
a0236_138	a0236	87079	L129
a0237_139	a0237	87080	L130
a0238_140	a0238	87081	L131
a0238_141	a0238	87081	L132
a0238_142	a0238	87081	L133
a0217_137	a0217	87058	L136
a0240_144	a0240	87084	L138
a0240_145	a0240	87084	L139
a0240_146	a0240	87084	L140
a0240_147	a0240	87084	L141
a0243_148	a0243	87087	L142
a0243_149	a0243	87087	L143
a0245_150	a0245	87089	L144
a0247_151	a0247	87091	L145
a0257_152	a0257	87101	L146
a0258_153	a0258	87102	L147
a0266_154	a0266	87110	L148
a0268_155	a0268	87112	L149
a0268_156	a0268	87112	L150
a0268_157	a0268	87112	L151
a0052_29	a0052	86883	L152
a0125_69	a0125	86961	L153
a0238_143	a0238	87081	L154
a0269_158	a0269	87113	L155
a0272_159	a0272	87116	L156
a0272_160	a0272	87116	L157
a0274_161	a0274	87118	L158
a0274_162	a0274	87118	L159
a0275_163	a0275	87119	L160
a0278_164	a0278	87122	L161
a0281_165	a0281	87125	L162
a0283_166	a0283	87127	L163
a0283_167	a0283	87127	L164
a0284_168	a0284	87128	L165
a0284_169	a0284	87128	L166
a0288_170	a0288	87132	L167
a0288_171	a0288	87132	L168
a0291_172	a0291	87136	L169
a0291_173	a0291	87136	L170
a0294_174	a0294	87139	L171
a0294_175	a0294	87139	L172
a0298_176	a0298	87143	L173
a0298_177	a0298	87143	L174
a0298_178	a0298	87143	L175
a0298_179	a0298	87143	L176
a0300_180	a0300	87145	L177
a0300_181	a0300	87145	L178
a0301_182	a0301	87146	L179
a0301_183	a0301	87146	L180
a0303_184	a0303	87148	L181
a0303_185	a0303	87148	L182
a0311_186	a0311	87156	L183
a0311_187	a0311	87156	L184
a0313_188	a0313	87158	L185
a0313_189	a0313	87158	L186
a0314_190	a0314	87159	L187
a0314_191	a0314	87159	L188
a0317_192	a0317	87162	L189
a0317_193	a0317	87162	L190
a0320_194	a0320	87165	L191
a0320_195	a0320	87165	L192
a0321_196	a0321	87166	L193
a0321_197	a0321	87166	L194
a0328_200	a0328	87174	L195
a0329_201	a0329	87175	L196
a0329_202	a0329	87175	L197
a0331_203	a0331	87177	L198
a0333_204	a0333	87179	L199
a0333_sc_205	a0333_sc	87180	L200
a0333_sc_206	a0333_sc	87180	L201
a0342_207	a0342	87190	L202
a0352_208	a0352	87200	L203
a0354_209	a0354	87202	L204
a0358_210	a0358	87208	L205
a0358_sc_211	a0358_sc	87209	L206
a0400_212	a0400	87254	L207
a0406_213	a0406	87263	L208
a0406_214	a0406	87263	L209
a0407_217	a0407	87264	L210
a0407_218	a0407	87264	L211
a0445_221	a0445	87306	L212
a0463_222	a0463	87326	L213
a0464_223	a0464	87327	L214
a0471_224	a0471	87336	L215
a0471_225	a0471	87336	L216
a0483_226	a0483	87348	L217
a0485_227	a0485	87350	L218
a0486_228	a0486	87351	L219
a0487_229	a0487	87352	L220
